구분,위치,소유자,위도,경도
송신소(부산 TBN),부산시 연제구 연산2동 181-3,KNN 부산방송,35.1588188,129.0821316
송신소(광주 TBN),광주광역시 북구 무등산천왕봉길 792,KBC 광주방송,35.1297931,126.9919147
송신소(대구 TBN),경상북도 영천시 신령면 치산리 산141-5,TBC 대구방송,36.0123935,128.7058144
송신소(대전 TBN),대전시 동구 낭월동 300,TJB 대전방송,36.2998973,127.4788872
송신소(경인 TBN),인천 남구 주안동 산 21-1,OBS 경인방송,37.4597528,126.6624633
송신소(강원 TBN),강원 원주시 판부면 서곡리 산 166-1,KT,37.2696165,127.9471064
송신소(전북 TBN),전라북도 김제시 금산면 모악15길 413,KBS 전주총국,35.7230286,127.0708555
송신소(울산 TBN),울산광역시 북구 화봉동 20-1,UBS 울산방송,35.5916949,129.3966193
송신소(경남 TBN),경남 창원시 선산구 천선동 213-8번지,경남 MBC,35.1861484,128.7128463
송신소(경북 TBN),경상북도 포항시 북구 홍해읍 도음로 764-150,포항 MBC,36.0696468,129.2848451
송신소(제주 TBN),제주특별자치도 제주시 아라1동 산62-3,KT,33.4149803,126.4095998
송신소(충북 TBN),충청북도 청주시 흥덕구 지동동 산 7-3,청주 CBS,36.6344098,127.4076613
중계소(광양),전남 광양시 용장길 369-155,KNN 부산방송,34.9440021,127.6499033
중계소(김천),경북 김천시 신음동 산 101-1,대구 MBC,36.1410558,128.1053631
중계소(서산),충남 서산시 해미면 산수리 산 25-1,TJB 대전방송,36.7034379,126.6004607
중계소(공주),충남 공주시 옥룡동 22-18,공주시,36.4563574,127.1371349
중계소(영종도),인천광역시 중구 을왕동 773번지,영종스카이,37.4556513,126.343207
중계소(춘천),강원도 춘천시 동내면 고은리 산 1-2번지,춘천 MBC,37.8418566,127.8096514
중계소(강릉),강원도 평창군 대관령면 대관령 마루길 527-54,한국통신,37.6960309,128.7540298
중계소(양양),강원도 양양군 손양면 상왕도리 산 158-4번지 삼밭이재,영동 MBC,38.0504278,128.6214563
중계소(동해),강원도 동해시 비천동 산 5-1번지,영동 MBC,37.5214597,129.0676548
중계소(평창),강원도 평창군 평창읍 여만리 산46,원주 KBS,37.3833368,128.4108682
중계소(장수),전북 진안군 백운면 신암리 1-2,전북경찰청,35.6309001,127.4570996
중계소(진주),경남 진주시 문산읍 달음산로 196-203,진주 MBC,35.190968,128.1928803
중계소(울진),경상북도 울진군 원남면 덕신리 산 64-4,포항 MBC,36.8645706,129.3980209
중계소(서귀포),제주특별자치도 서귀포시 인정오름로 387-63,해군3함대,33.3007625,126.5521492
중계소(광해악),제주특별자치도 서귀포시 안덕면 서광리 929번지,한국 전파기지국,33.28799,126.3150829
중계소(충주),충북 청주시 목벌동 산 58-3,문스톤,36.7856475,127.55814
