type,location,owner,lat,lng,frequency,Kw
중계소(광양),전남 광양시 용장길 369-155,KNN 부산방송,34.9440021,127.6499033,,
중계소(김천),경북 김천시 신음동 산 101-1,대구 MBC,36.1410558,128.1053631,,
중계소(서산),충남 서산시 해미면 산수리 산 25-1,TJB 대전방송,36.7034379,126.6004607,,
중계소(공주),충남 공주시 옥룡동 22-18,공주시,36.4563574,127.1371349,,
"중계소
(영종도)",인천광역시 중구 을왕동 773번지,영종스카이,37.4556513,126.343207,,
중계소(춘천),강원도 춘천시 동내면 고은리 산 1-2번지,춘천 MBC,37.8418566,127.8096514,,
중계소(강릉),강원도 평창군 대관령면 대관령 마루길 527-54,한국통신,37.6960309,128.7540298,,
중계소(양양),강원도 양양군 손양면 상왕도리 산 158-4번지 삼밭이재,영동 MBC,38.0504278,128.6214563,,
중계소(동해),강원도 동해시 비천동 산 5-1번지,영동 MBC,37.5214597,129.0676548,,
중계소(평창),강원도 평창군 평창읍 여만리 산46,원주 KBS,37.3833368,128.4108682,,
중계소(장수),전북 진안군 백운면 신암리 1-2,전북경찰청,35.6309001,127.4570996,,
중계소(진주),경남 진주시 문산읍 달음산로 196-203,진주 MBC,35.190968,128.1928803,100.1,1
중계소(울진),경상북도 울진군 원남면 덕신리 산 64-4,포항 MBC,36.8645706,129.3980209,,
중계소(서귀포),제주특별자치도 서귀포시 인정오름로 387-63,해군3함대,33.3007625,126.5521492,,
중계소(광해악),제주특별자치도 서귀포시 안덕면 서광리 929번지,한국 전파기지국,33.28799,126.3150829,,
중계소(충주),충북 청주시 목벌동 산 58-3,문스톤,36.7856475,127.55814,,
