index,location,field_strength,lat,lng
1,구탐라대사거리,44.8,33.290649,126.458687
2,제1산록교,51.4,33.2906204,126.4634875
3,제3산록교,51.2,33.292369,126.475629
4,제4산록교,54.9,33.2900652,126.4862354
5,제6산록교(악근내),61.1,33.291344,126.5126864
6,추억의숲길,86.2,33.290427,126.52767
7,돈내코입구,80.9,33.2922146,126.5985904
8,상효원수목원,63.6,33.305038,126.583552
9,서성로입구,62.4,33.3178693,126.5963912
10,제주생물종 다양성 연구소,69.7,33.3160645,126.632249
11,위미교차로,70.4,33.3219251,126.6429701
12,한남교차로,55,33.3250917,126.6634959
13,남원읍 공설묘지,51.2,33.325769,126.6761483
14,수망교차로,58.3,33.3434236,126.7015251
15,신흥2교차로,38.1,33.3575335,126.7339106
16,가시2교차로,40.2,33.367713,126.7577512
17,해양경찰청 제주수련원,52,33.3767822,126.788544
18,성읍민속마을,34.9,33.3863435,126.7975215
19,모구리야영장,42.6,33.405444,126.8149923
20,멍에승마장,35.1,33.4130286,126.8307337
21,대성동 교차로,77,33.2932345,126.6742787
22,한남 삼거리 ,60,33.3120659,126.6911101
23,수망사거리,60,33.3275089,126.7106912
24,신흥사거리,60,33.324204,126.7305228
25,신흥보건진료소,60,33.319927,126.7459381
26,토산1리 노인복지회관,64,33.329363,126.7684603
27,가시리 삼거리,46,33.3476464,126.7714907
28,가시리사거리,41,33.3612558,126.7642966
29,해경청 제주수련원,44,33.378995,126.7883653
30,성읍교차로,38,33.3816983,126.790601
31,성읍민속마을 교차로,39,33.3886316,126.7994424
32,삼달리 체육공원,48,33.388008,126.8240456
33,일출랜드 입구,48,33.380774,126.8427313
34,신산교차로,57,33.3829495,126.8751469
35,난산사거리,43,33.4025303,126.8621199
